"","GraphNames","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1","aves-barn-swallow-contact-network","17","53","1","17","1","11","6.23529411764706","1","0.735768791255084","0.450882510975847","0.0372495191021744","0.119437522249911","4","0.0930344742063492","0.472779369627507","0.134999771173066","7.40741996309035","0.412107703221203","0.297794117647059","2.94117647058824","2","1.72794117647059","30.5260197719392","0","9.70588235294118","7.01573860939061","22","165","-0.310346660995321"
"2","aves-barn-swallow-non-physical","17","122","1","17","9","16","14.3529411764706","9","8.66304288685819","0.818365928911369","0.0572473618603452","0.00295619457135178","2","0.00649936868686869","0.921686746987952","0.0685745595070303","14.5826674963545","0.0944888335763652","0.102941176470588","1.70588235294118","1","1.10294117647059","34.1664528792247","35","90","20.3193257762161","106","1530","-0.152796855018236"
"3","aves-geese-female-foraging","20","190","1","20","19","19","19","19","20","1.05263157894736","0.0526315789473684","0","1","0","1","0.0526315789473684","19","0","0","1","1","1","38","171","171","0","171","3420","NaN"
"4","aves-geese-male-foraging","23","253","1","23","22","22","22","22","23","1.04545454545454","0.0454545454545455","0","1","0","1","0.0454545454545454","22","0","0","1","1","1","44","231","231","0","231","5313","NaN"
"5","aves-hens-pecking-order","32","496","1","32","31","31","31","31","32","1.03225806451613","0.032258064516129","0","1","0","1","0.032258064516129","31","1.1842378929335e-16","0","1","1","1","62","465","465","0","465","14880","NaN"
"6","aves-songbird-social","108","1026","1","108","1","56","19","1","0.682305769439048","0.0978052188165853","0.00426926452482657","0.367618336506199","6","0.105844737420155","0.558333025182117","0.0349030513819278","28.6507901288476","0.694327722270684","0.345794392523364","4.35185185185185","3","2.25424022152994","278.925950107845","0","139.805555555556","137.362026499275","582","15099","-0.00451121870353881"
"7","aves-sparrow-social-2009","31","211","1","31","4","23","13.6129032258065","1","0.191884676174102","0.0407418442495817","0.0185322659039936","0.196278160867905","4","0.267968573572022","0.706401045068583","0.0624274965359827","16.0185824434527","0.430690725829286","0.312903225806452","3.48387096774194","2","1.89032258064516","69.8661098416085","6","69.7741935483871","37.8159663611543","146","2163","0.288600346011881"
"8","aves-sparrow-social-2010","40","305","1","40","3","29","15.25","3","2.87074611936056","0.401412425341876","0.0158517007433796","0.209680193496372","3","0.0789154092261487","0.598282442748092","0.0556068025121826","17.9834112882307","0.464401639898275","0.352564102564103","2.475","2","1.64615384615385","99.4972505668554","3","78.375","51.0026080278355","193","3135","-0.115917963645721"
"9","aves-sparrow-social","52","454","1","52","3","35","17.4615384615385","3","1.979265700745","0.318895132110801","0.0114470386273724","0.202221079392187","3","0.0529635248774899","0.596083886154505","0.0463910849483449","21.5558657684654","0.50357613498415","0.343891402714932","2.73076923076923","2","1.74886877828054","134.332382978524","3","107.134615384615","76.4796599503664","282","5571","-0.0561746599755857"
"10","aves-sparrowlyon-flock-season2","46","348","1","46","1","31","15.1304347826087","1","0.96797381946161","0.355514566532141","0.0129233791533045","0.230103877658872","4","0.0645385180508349","0.582477535301669","0.0533986930596042","18.7270500962222","0.508757184454062","0.352657004830918","2.84782608695652","2","1.75942028985507","113.030487235719","0","78.9130434782609","56.7684678073847","215","3630","-0.0998076024978114"
