"","X","r","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"Spatial",1,1,350,1656,1,350,1,20,9.46285714285714,1,0.0807902974497375,0.00938470071832137,0.000403507125511881,0.770018334733599,18,0.0934781782380158,0.574376558603491,0.0711550527536027,14.0538157348126,0.919901799237583,0.0301923864101515,13.9171428571429,10,7.30054850593533,757.790304884683,0,26.3228571428571,19.5391398501235,104,9213,0.629402517357568
"2",2,0.1,"Spatial",1,1,350,1697,1,350,1,21,9.69714285714286,1,0.0468537072703437,0.00484595680284259,0.000370785408053462,0.832290092849908,19,0.116950886087146,0.62078379034215,0.0709664249393815,14.091170590236,0.940443838746412,0.0323864101514531,14.96,10,7.95466230045027,746.927267096742,0,29.2371428571429,18.1311140971426,101,10233,0.529424596496711
"3",3,0.1,"Spatial",1,1,350,1684,1,350,1,19,9.62285714285714,1,0.0680169791437382,0.00806725250820985,0.000400572561942631,0.776785563159766,20,0.0807644532910612,0.604313981817101,0.0677027825463928,14.7704416626415,0.928378301446247,0.0268686041751944,14.8142857142857,10,7.40080229226361,746.843086029343,0,29.0571428571429,21.8208948746699,100,10170,0.610798657779638
"4",4,0.1,"Spatial",1,1,350,1629,1,350,2,17,9.30857142857143,2,0.058858189322008,0.00659969047304475,0.000386678883765226,0.787931185868774,19,0.163812985852513,0.589088084913598,0.0764216813432308,13.0852917970847,0.923946626465237,0.0220384772820303,14.36,10,7.63792058943921,747.386497207365,1,26.0057142857143,18.03085453062,79,9102,0.571199244531511
"5",5,0.1,"Spatial",1,1,350,1659,1,350,1,19,9.48,1,0.047855915244176,0.00534906330103325,0.000387619794709067,0.827786661318375,19,0.107959728220502,0.607765057242409,0.0714799320044759,13.9899405603433,0.953895702694403,0.0272779369627507,14.3114285714286,10,7.5796479738027,746.860593538869,0,27.9085714285714,19.7874865877529,109,9768,0.514628210838414
"6",6,0.1,"Spatial",1,1,350,1636,1,350,1,19,9.34857142857143,1,0.0650850651417173,0.00704957840803275,0.000374387450539535,0.781227022196185,20,0.111195791620936,0.583450121034527,0.0720710298218494,13.8752006523547,0.924295552176548,0.0276545231273025,15.0028571428571,11,7.83860826852231,746.629539650199,0,26.1685714285714,18.5968428079406,95,9159,0.62472293666161
"7",7,0.1,"Spatial",1,1,350,1661,1,350,2,18,9.49142857142857,1,0.0388628823539273,0.00430409768303981,0.000366167554378296,0.826441206544153,20,0.12594027436575,0.631911633252458,0.0768172016825902,13.0179175770033,0.948366069987033,0.0243798608268522,15.1057142857143,11,7.98441260744986,740.271052946067,1,28.2771428571429,17.7743027172812,87,9897,0.459228473369978
"8",8,0.1,"Spatial",1,1,350,1654,1,350,1,18,9.45142857142857,1,0.0739759284792119,0.00770947250970709,0.000394303459430048,0.784458072402252,19,0.100764391359746,0.590584332737943,0.0779972907280842,12.8209581469467,0.938237987008883,0.024494474007368,14.3257142857143,10,7.45565288579615,751.233014285433,0,26.4514285714286,17.3033506440826,81,9258,0.569496222420265
"9",9,0.1,"Spatial",1,1,350,1696,1,350,1,18,9.69142857142857,1,0.0594399961650888,0.00654482556190522,0.000374655618967039,0.803316523062033,20,0.109003525588604,0.60687092647865,0.0755833845553094,13.2304210228669,0.933924988291833,0.0238067949242734,14.92,10,7.8378059762587,749.771110800372,0,28.4657142857143,16.976056674171,81,9963,0.481991850497323
"10",10,0.1,"Spatial",1,1,350,1667,1,350,1,18,9.52571428571428,1,0.0735478726956801,0.0079484404280767,0.00039503875055054,0.764777758305568,18,0.0805054736655204,0.588463671658347,0.0735540936106793,13.595436377654,0.910655232388196,0.0242816209578387,14.2228571428571,10,7.45578387228817,749.052677007411,0,27.2828571428571,18.230535574783,85,9549,0.601448496727791
