"","X","p","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,0.1,"ER",1,1,400,8056,1,400,22,59,40.28,22,20.5804542624082,0.710602769399893,0.0013094549417532,0.0972824199077165,3,0.00259090014004545,0.100085210432721,0.0242564030481964,41.2262278959104,0.318703132938678,0.0469172932330827,2.96,2,1.91432330827068,2072.44660568917,23,81.045,26.7949229283617,176,32418,-0.00141288175203326
"2",2,0.1,"ER",1,1,400,7941,1,400,25,60,39.705,25,22.8795668724893,0.706799517677697,0.00130711402808437,0.103982619203606,3,0.00294585476362335,0.09995680702267,0.0245832502716976,40.6781035439926,0.333761362275664,0.0508646616541353,2.975,2,1.91778195488722,2057.83332622706,26,78.6825,26.4845288692013,195,31473,0.00776755536656804
"3",3,0.1,"ER",1,1,400,7979,1,400,28,57,39.895,28,24.4169535180734,0.708534364513745,0.00130787468833554,0.0954233855599235,3,0.00211115181029541,0.100184214255349,0.0244953064341583,40.8241473805576,0.315333932638597,0.0428696741854637,2.9625,2,1.91664160401003,2063.18058611171,35,79.5375,25.326115455398,162,31815,0.0018690337178281
"4",4,0.1,"ER",1,1,400,7936,1,400,24,58,39.68,24,22.4403921808563,0.69814842246701,0.00130679401311347,0.102620381842543,3,0.00265912924301421,0.0991119649366098,0.0246134053021079,40.6282669027662,0.314313929633793,0.0459147869674185,2.9625,2,1.91825814536341,2058.14961467227,22,77.9025,24.7852529876974,153,31161,-0.00984086205473266
"5",5,0.1,"ER",1,1,400,7837,1,400,22,57,39.185,22,20.7589386761646,0.701500705609987,0.00130495251518234,0.104474356932673,3,0.00245937406428511,0.0962492979270889,0.0249504892131348,40.0793744546526,0.319727294271332,0.0446491228070175,2.9875,2,1.92098997493734,2046.63003318041,19,73.6875,23.7211208141965,158,29475,-0.0171948588849638
"6",6,0.1,"ER",1,1,400,7965,1,400,21,62,39.825,21,19.8691791967032,0.702904973368719,0.00130725990672213,0.103323036401015,3,0.00298521075691984,0.0986210898814743,0.024493245581302,40.8275823096059,0.370413326332252,0.0555764411027569,2.9825,2,1.91758145363409,2061.28039618148,25,78.1725,26.2638004062521,181,31269,-0.00238357781331059
"7",7,0.1,"ER",1,1,400,8083,1,400,24,57,40.415,24,22.289746053832,0.711503782492958,0.00130982943854347,0.0988974436001567,3,0.00256162739195476,0.0999582740169849,0.0241916541819553,41.3365697309739,0.294407084751786,0.0415664160401003,2.955,2,1.91377192982456,2074.71183111256,20,81.45,24.9587629826492,171,32580,-0.010149437446312
"8",8,0.1,"ER",1,1,400,7943,1,400,22,58,39.715,22,20.779377136305,0.709096358948126,0.00130661677617423,0.0935958883933333,3,0.00247511480651441,0.0994760243866058,0.0245790768056521,40.6850105846955,0.34433915414473,0.0458270676691729,2.975,2,1.91852130325815,2057.33490317888,25,78.36,25.721184816624,168,31344,-0.00479055434291518
"9",9,0.1,"ER",1,1,400,7977,1,400,25,56,39.885,25,22.9105815126537,0.712077104597705,0.00130714447859751,0.101921015900531,3,0.00212948523814182,0.100571968801702,0.0244965498477194,40.8220751990141,0.317105896530731,0.0403884711779449,2.975,2,1.91774436090226,2064.0862036179,28,79.785,25.1789340879337,177,31914,0.0237364752653415
"10",10,0.1,"ER",1,1,400,7869,1,400,25,58,39.345,25,22.9460810475843,0.705762834634581,0.00130581876304746,0.0999780753464878,3,0.00280926061304631,0.0991347999792456,0.0248727642733854,40.2046185542002,0.325651889942448,0.0467543859649123,2.985,2,1.91964912280702,2051.1654167079,27,76.425,24.1564320217215,164,30570,-0.00331776395937321
