"","X","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,1,"LAT",1,1,49,84,1,49,2,4,3.42857142857143,2,0.198062264195161,0.0620220053343892,0.00456907458498243,0.537840136054422,12,0.101737528953841,0,0.270598050073099,3.69551813004515,0.504805481508762,0.0119047619047619,9.42857142857143,6,4.66666666666667,73.0965694763527,0,0,0,0,0,0.514049586776862
"2",2,2,"LAT",1,1,49,226,1,49,5,12,9.22448979591837,5,1.26028995002826,0.15386363099056,0.00820128001556585,0.436428067977132,6,0.0475602691246408,0.506572295247725,0.0989662378210722,10.1044560449794,0.465867809349202,0.0578231292517007,4.95918367346939,3,2.58843537414966,110.771044853858,7,20.4489795918367,7.78636956613338,30,1002,0.430426784400293
"3",3,3,"LAT",1,1,49,402,1,49,9,24,16.4081632653061,9,4.07053692314076,0.291416280025603,0.0111478899877891,0.310638969332442,4,0.03784633309105,0.595481927710843,0.0559979591834668,17.857793651438,0.422973701092409,0.158163265306122,3.46938775510204,2,1.89795918367347,121.553328693834,28,80.6938775510204,33.008966005234,138,3954,0.263502964170698
"4",4,4,"LAT",1,1,49,590,1,49,14,36,24.0816326530612,14,9.0188458773025,0.453112508095982,0.013555379981397,0.191904625107728,3,0.0201420764654257,0.676831792465848,0.0389037056652537,25.7044922302385,0.364877087910255,0.248299319727891,2.73469387755102,2,1.5578231292517,132.593942729909,75,200.204081632653,81.0496194705844,370,9810,0.0917260685173667
"5",5,5,"LAT",1,1,49,770,1,49,20,44,31.4285714285714,20,15.7492466685604,0.611790965528027,0.0155750746487043,0.121604823747681,3,0.0111916535263119,0.751901218415242,0.0305263160934015,32.758620363502,0.285978593330084,0.261904761904762,2.24489795918367,2,1.35374149659864,131.765609351206,160,375.30612244898,132.200952480437,646,18390,-0.00710128162755385
"6",6,6,"LAT",1,1,49,924,1,49,27,48,37.7142857142857,27,23.776501787348,0.748009540968657,0.0173172258121506,0.0721869670733307,2,0.00567498414137602,0.830412727691953,0.0259587906896722,38.5225957539637,0.201646898851836,0.214285714285714,1.97959183673469,1,1.21428571428571,135.480593671529,301,588,157.596531264703,876,28812,-0.0407211806435996
"7",7,7,"LAT",1,1,49,1036,1,49,33,48,42.2857142857143,33,30.8589172837316,0.841145844611902,0.0187283236000703,0.0374603091784559,2,0.00151185111173619,0.89816700610998,0.0234241711316132,42.6909449380859,0.112958618338598,0.119047619047619,1.89795918367347,1,1.11904761904762,124.552305304644,479,792,147.337198290181,988,38808,-0.0451046641715663
"8",8,8,"LAT",1,1,49,1106,1,49,38,48,45.1428571428571,38,36.4443798016059,0.902330835738662,0.0197246208671912,0.00580632028488365,2,0.000415492210029223,0.946769456681351,0.0220634312847853,45.3238658616798,0.0569390242195795,0.0595238095238095,1.73469387755102,1,1.05952380952381,114.343845819144,670,947.387755102041,115.647239541657,1058,46422,-0.0545823781726364
"9",9,9,"LAT",1,1,49,1146,1,49,42,48,46.7755102040816,42,40.9254445421889,0.946219860987513,0.0203401655446759,0,2,0.000102780136643323,0.976359068067611,0.0213495966286372,46.8392924416498,0.0246959054968141,0.0255102040816327,1.48979591836735,1,1.02551020408163,105.560592069103,846,1046.81632653061,75.391664401474,1098,51294,-0.0614059460959649
"10",10,10,"LAT",1,1,49,1166,1,49,45,48,47.5918367346939,45,44.4384471871911,0.978099092916441,0.0206638777960164,0,2,1.82879151623997e-05,0.991793022228765,0.0210055553450937,47.6064537962131,0.00837332348482942,0.00850340136054422,1.24489795918367,1,1.00850340136054,99.2129075924261,985,1099.95918367347,38.2687640160971,1118,53898,-0.0536615843941348
"11",11,11,"LAT",1,1,49,1174,1,49,47,48,47.9183673469388,47,47,1,0.020798625572678,0,2,1.57185252250891e-06,0.998293515358362,0.0208681694429807,47.9198715887543,0.00170485981374002,0.00170068027210884,1.08163265306122,1,1.00170068027211,95.8397431775085,1080,1122.24489795918,12.7255167089672,1126,54990,-0.0407801418425924
"12",12,12,"LAT",1,1,49,1176,1,49,48,48,48,48,48.9999999999998,1.02083333333333,0.0208333333333333,0,1,0,1,0.0208333333333333,48.0000000000001,0,0,1,1,1,96,1128,1128,0,1128,55272,NA
