"","X","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"sbm",1,1,50,510,1,50,4,34,20.4,4,3.5426252671953,0.529815955521052,0.0128738996278954,0.0771453287197232,3,0.045978545508802,0.794325165010242,0.0361148139297269,27.6894684255005,0.402039754238545,0.277551020408163,2.4,2,1.63673469387755,122.310942754856,1,209.4,168.46449392761,397,10470,0.310274150643427
"2",2,"sbm",1,1,50,606,1,50,19,31,24.24,19,7.10337984008693,0.304606683103546,0.0135761413711392,0.318362034223224,2,0.0145916584722639,0.649495374264087,0.0405739822069641,24.6463360411382,0.272824062855773,0.137959183673469,2,2,1.50530612244898,148.208258213094,114,185.34,35.2209411270845,282,9267,0.0864061723653891
"3",3,"sbm",1,1,50,128,1,50,1,13,5.12,1,0.742124220204094,0.250365124998422,0.00821934999579821,0.312744140625,5,0.107003801929093,0.0765957446808511,0.156408384529524,6.39351913906661,0.605984584692597,0.160816326530612,3.96,3,2.52408163265306,88.3259670252271,0,1.08,1.29109983173657,5,54,-0.292402279231311
"4",4,"sbm",1,1,50,485,1,50,12,27,19.4,12,8.47920130817229,0.449764258961071,0.0127447117461845,0.24864704006802,3,0.0120319406124234,0.47739777753803,0.0492170742690393,20.3181520814021,0.353104625410263,0.155102040816327,2.04,2,1.60489795918367,152.982751677579,23,88.5,43.3247113348133,186,4425,0.131781211102876
"5",5,"sbm",1,1,50,184,1,50,2,14,7.36,2,1.60000100347467,0.435483083563718,0.00960691620196003,0.224465382797732,4,0.0570611668955085,0.138636363636364,0.122205950941593,8.18290756133424,0.489627209668273,0.135510204081633,3.2,3,2.13959183673469,110.735062621424,0,3.66,2.93194927149367,11,183,-0.0837454267679811
"6",6,"sbm",1,1,50,586,1,50,19,30,23.44,19,9.56190075541198,0.430091072604752,0.0134309622924259,0.249676758028632,2,0.00756830878390781,0.550625796297684,0.0419330868088387,23.8475169872116,0.256303577670171,0.133877551020408,2,2,1.52163265306122,158.026895690719,93,146.94,35.3411421226113,238,7347,0.0845508565108167
"7",7,"sbm",1,1,50,359,1,50,6,21,14.36,6,4.82399135393421,0.363557858287965,0.0117820630658474,0.279901614667794,3,0.0209385257385566,0.382203057624461,0.0648672312085817,15.4161042697272,0.412799041818955,0.135510204081633,2.56,2,1.73714285714286,140.326151690667,6,39,22.7891846886963,96,1950,0.0593446314727977
"8",8,"sbm",1,1,50,603,1,50,18,31,24.12,18,16.4374724072142,0.776757286318123,0.0135547552349715,0,2,0.00694670164067751,0.408531409168082,0.0409255054665676,24.434640173642,0.218898752622902,0.140408163265306,2,2,1.50775510204082,157.456870802149,49,115.5,33.5530344745297,209,5775,-0.0415076054714926
"9",9,"sbm",1,1,50,284,0,35,0,23,11.36,0,-9.0568835085332e-15,-3.77815050731401e-16,-1,0.048285310454275,5,0.119953383859201,0.617899468737229,0.0536785645059354,18.6294102534994,0.531362791022372,0.237551020408163,3.18,0,1.96160267111853,93.1445788180711,0,60.48,53.0483953093584,152,3024,0.559096852628493
"10",10,"sbm",1,1,50,461,1,50,2,32,18.44,2,1.33006327868454,0.41622791047261,0.0122635516666728,0.0295382573957398,4,0.0581126650253108,0.799982867911598,0.0374745861464835,26.6847509960784,0.426222767550227,0.276734693877551,2.66,2,1.74122448979592,111.955740562013,0,186.78,153.441378821666,368,9339,0.157881291229171
