"","nei","GraphName","GraphID","GraphReplicate","order","edges","connected","max_component","minDegree","maxDegree","mean_degree","minCut","FiedlerValue","Normalized_FiedlerValue","closeness_centr","modularity","diameter","betw_centr","transitivity","threshold","spectral_radius","eigen_centr","deg_centr","mean_eccentr","radius","mean_path_length","graph_energy","min_triangle","mean_triangle","sd_triangle","max_triangle","num_triangle","deg_assort_coef"
"1",1,"LAT","1","1",225,420,1,225,2,4,3.73333333333333,2,0.0437047985323876,0.0121083203391222,0.000457313844629707,0.692227891156463,28,0.0498505615613232,0,0.254897789552079,3.92314112161293,0.546695655068084,0.00119047619047619,21.4666666666667,14,10,352.34747567927,0,0,0,0,0,0.607280887669871
"2",2,"LAT","1","1",225,1202,1,225,5,12,10.6844444444444,5,0.297451889396355,0.0294788833607969,0.000868919068251979,0.605464478226804,14,0.0247820289219216,0.474471977382338,0.0870420343954951,11.4887020615382,0.528744663497967,0.00587301587301587,10.9822222222222,7,5.25111111111111,546.88125742562,7,25.36,6.68949069169587,30,5706,0.585719436667509
"3",3,"LAT","1","1",225,2290,1,225,9,24,20.3555555555556,9,1.06922316211821,0.0569866571354976,0.00124128578337986,0.552387254247631,10,0.0160417909743338,0.533768592182636,0.0450233373984639,22.2107035546885,0.507826172732408,0.0162698412698413,7.48888888888889,5,3.66865079365079,623.797184255101,28,109.733333333333,32.7719392163479,138,24690,0.561647550944539
"4",4,"LAT","1","1",225,3630,1,225,14,40,32.2666666666667,14,2.76638749273934,0.0953182568444389,0.00157958774926448,0.481190947795005,7,0.0122765330138969,0.576934663274869,0.0281836046566493,35.4816217507533,0.485680424345996,0.0345238095238095,5.74222222222222,4,2.87809523809524,693.561303213025,75,306.426666666667,102.148068298636,414,68946,0.523727633338009
"5",5,"LAT","1","1",225,5170,1,225,20,60,45.9555555555556,20,5.83331821899971,0.144542104860938,0.00188851701651986,0.45400504697163,6,0.00889901915529952,0.599961055714668,0.019746494512169,50.6418999779296,0.462376657630277,0.0626984126984127,4.70666666666667,3,2.40357142857143,733.60869723557,160,657.306666666667,236.833499379989,954,147894,0.470652744537145
"6",6,"LAT","1","1",225,6860,1,225,27,84,60.9777777777778,27,10.6722759930941,0.20385272934738,0.00217061446627002,0.402010429327916,5,0.00779971642969806,0.624179892491257,0.0149177961928363,67.0340301659442,0.439142232592932,0.102777777777778,3.99555555555556,3,2.08880952380952,767.092518687175,301,1216.90666666667,464.675611890396,1908,273804,0.397979695242243
"7",7,"LAT","1","1",225,8652,1,225,35,112,76.9066666666667,35,17.5628048290817,0.271475625841037,0.00243143852261431,0.339040400227078,4,0.00779504013035618,0.645763059531407,0.0118987737124497,84.0422739490959,0.418777840861568,0.156666666666667,3.49333333333333,2,1.86222222222222,788.500633330207,515,2014.82666666667,797.462488593843,3420,453336,0.307435347238642
"8",8,"LAT","1","1",225,10500,1,225,44,140,93.3333333333333,44,26.5861284526723,0.344662598697922,0.00266960123540914,0.260981873015873,4,0.00606139775439757,0.670378244975755,0.00988948589958396,101.117490853804,0.394753814437128,0.208333333333333,3.12,2,1.69444444444444,797.392698327593,826,3085.76,1237.95709999522,5544,694296,0.215160734525212
"9",9,"LAT","1","1",225,12360,1,225,54,164,109.866666666667,54,37.5976879701677,0.420145636267089,0.00288703208512766,0.22199165278956,4,0.00447408707090458,0.69656666932134,0.00848950520707504,117.792495040419,0.363097811547308,0.241666666666667,2.83555555555556,2,1.56634920634921,805.948968335336,1256,4431.52,1754.68216515536,8072,997092,0.136881492089618
"10",10,"LAT","1","1",225,14190,1,225,65,184,126.133333333333,65,50.3301175513043,0.495244050424149,0.00308982191482535,0.152295053390486,3,0.00337360350554635,0.726013679960585,0.00747948580500638,133.699030397337,0.327841499754968,0.258333333333333,2.62222222222222,2,1.46309523809524,812.522630575729,1835,6051.54666666667,2298.58611215678,10842,1361598,0.0760558669198772
